Entry,hybrid_cluster,Protein names,Gene Names,Keywords,Gene Ontology (GO),Function [CC]
A0A8C4QW85,28,Adrenoceptor alpha 1D,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha1-adrenergic receptor activity [GO:0004937]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; cell-cell signaling [GO:0007267]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of MAPK cascade [GO:0043410],
A0A5E4N9N4,29,"Adrenoceptor family,GPCR, rhodopsin-like, 7TM,G protein-coupled receptor, rhodopsin-like",CINCED_3A020525,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; octopamine receptor activity [GO:0004989]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A5E4MRX7,29,"Neuropeptide Y receptor family,G protein-coupled receptor, rhodopsin-like,GPCR, rhodopsin-like, 7TM",CINCED_3A005342,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; neuropeptide Y receptor activity [GO:0004983]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6P4ZQ85,30,Probable G-protein coupled receptor No18,LOC109478818,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled serotonin receptor activity [GO:0004993]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6P8IC15,30,Probable G-protein coupled receptor No18,LOC116298783,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],
A0A7S7YMA3,31,Dopamine receptor D1C,DRD1C,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
Q98844,31,Dopamine D1C receptor,d1C,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
Q8MTW3,32,Orphan G protein-coupled receptor Ren 1,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930],
A0A0K0PUH4,32,Orphan G-protein coupled receptor 37,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A0K0PUJ2,32,Orphan G-protein coupled receptor 46,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A0K0PVR5,32,Orphan G-protein coupled receptor 60,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6P4Y546,33,Orexin receptor type 1-like,LOC109466282,G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; orexin receptor activity [GO:0016499]; feeding behavior [GO:0007631],
E7F6Y6,34,Somatostatin receptor type 2,sstr2b,Cell membrane;Cytoplasm;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Phosphoprotein;Receptor;Transducer;Transmembrane;Transmembrane helix,cytoplasm [GO:0005737]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; neuropeptide binding [GO:0042923]; somatostatin receptor activity [GO:0004994]; cellular response to estradiol stimulus [GO:0071392]; cellular response to glucocorticoid stimulus [GO:0071385]; neuropeptide signaling pathway [GO:0007218],FUNCTION: Receptor for somatostatin-14 and -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and PLC via pertussis toxin insensitive as well as sensitive G proteins. Inhibits calcium entry by suppressing voltage-dependent calcium channels. Acts as the functionally dominant somatostatin receptor in pancreatic alpha- and beta-cells where it mediates the inhibitory effect of somatostatin-14 on hormone secretion. Inhibits cell growth through enhancement of MAPK1 and MAPK2 phosphorylation and subsequent up-regulation of CDKN1B. Stimulates neuronal migration and axon outgrowth and may participate in neuron development and maturation during brain development. Mediates negative regulation of insulin receptor signaling through PTPN6. Inactivates SSTR3 receptor function following heterodimerization. {ECO:0000256|ARBA:ARBA00024823}.
A0A3P9IHN0,35,Adrenoceptor beta 3a,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adrenergic receptor signaling pathway [GO:0071875],
B1H187,35,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor),adrb2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adrenergic receptor signaling pathway [GO:0071875],
A0A3Q3RZ45,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A1W0WC25,36,Histamine H2 receptor,BV898_12994,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6J2R2F9,36,Histamine H2 receptor (Gastric receptor I),LOC115019102,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A2G8K4E2,36,Putative histamine H2 receptor-like,BSL78_20316,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A2I4B4L2,36,Histamine H2 receptor (Gastric receptor I),hrh2a,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3Q3EY37,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A665TG92,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8C2XCY3,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3B5RDG7,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A1W0WQG4,36,Histamine H2 receptor,BV898_08498,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3Q1FGD2,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A6G1QV89,36,Histamine H2 receptor (Gastric receptor I),EXN66_Car022302,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3P8VDR6,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8J9ZPP8,36,Histamine H2 receptor (Gastric receptor I),HRH2 BLAG_LOCUS16726,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A5A9N3F7,36,Histamine H2 receptor (Gastric receptor I),E1301_Tti000463,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; alpha2-adrenergic receptor activity [GO:0004938]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; positive regulation of MAPK cascade [GO:0043410],
A0A8B7XKV7,36,Histamine H2 receptor-like,LOC110973795,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; adrenergic receptor activity [GO:0004935]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3Q4GE62,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A3Q3JLI6,36,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A4W6F5C6,36,Histamine H2 receptor (Gastric receptor I),HRH2 hrh2b,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; positive regulation of MAPK cascade [GO:0043410],
A0A8B7B3E7,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A6J0Y0I5,37,5-hydroxytryptamine receptor 6,HTR6,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; positive regulation of cell communication [GO:0010647]; positive regulation of signaling [GO:0023056]",
A0A1L8HSD5,37,Trace amine-associated receptor 1,LOC108719346,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; serotonin binding [GO:0051378]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-inhibiting serotonin receptor signaling pathway [GO:0007198]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; positive regulation of MAPK cascade [GO:0043410]",
A0A2I0UER1,37,Histamine H2 receptor (Gastric receptor I),llap_5168,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A7M7HJZ8,37,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A8C5X9A8,37,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A7M7GQB3,37,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A1U7STV7,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A7M7TGW7,37,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;Disulfide bond;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A6I9X8Y7,37,Histamine H2 receptor (Gastric receptor I),LOC106537952,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A1V4KUC3,37,Histamine H2 receptor (Gastric receptor I),HRH2 AV530_008071,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
E9FX33,37,G-protein coupled receptors family 1 profile domain-containing protein,DAPPUDRAFT_42083,Cell membrane;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; adrenergic receptor activity [GO:0004935]; neurotransmitter receptor activity [GO:0030594]; octopamine receptor activity [GO:0004989]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A8C6V0D8,37,G-protein coupled receptors family 1 profile domain-containing protein,,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A7N4NQZ3,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A8B7QWA5,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; gastric acid secretion [GO:0001696]; positive regulation of vasoconstriction [GO:0045907]",
A0A6P4XU45,37,5-hydroxytryptamine receptor 6-like,LOC109462103,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A6P8Q8J5,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,plasma membrane [GO:0005886]; histamine receptor activity [GO:0004969]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; gastric acid secretion [GO:0001696]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of vasoconstriction [GO:0045907],
A0A8M6Z176,37,5-hydroxytryptamine (serotonin) receptor 1Fa (5-hydroxytryptamine receptor 1F),htr1fa,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; alpha2-adrenergic receptor activity [GO:0004938]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; adenylate cyclase-inhibiting serotonin receptor signaling pathway [GO:0007198]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; lens morphogenesis in camera-type eye [GO:0002089]",
A0A668AIL1,37,Histamine H2 receptor (Gastric receptor I),HRH2,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A0B2VKV6,37,5-hydroxytryptamine receptor 1,5-HT7 Tcan_09013,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A0N4U5A8,37,G_PROTEIN_RECEP_F1_2 domain-containing protein,DME_LOCUS6381,Cell membrane;G-protein coupled receptor;Membrane;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; G protein-coupled serotonin receptor activity [GO:0004993]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
A0A7M7HCQ2,37,Histamine H2 receptor (Gastric receptor I),,Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Lipoprotein;Membrane;Palmitate;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix,"dendrite [GO:0030425]; plasma membrane [GO:0005886]; synapse [GO:0045202]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]; chemical synaptic transmission [GO:0007268]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]",
